Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,4.08915,mm
Thickness,4.08915,mm
,,
Time,Extension,Load
(s),(mm),(N)
0.00,0.05,8.98
0.10,0.05,10.53
0.20,0.05,10.71
0.30,0.05,11.15
0.40,0.05,11.74
0.50,0.05,12.30
0.60,0.06,12.81
0.70,0.06,13.33
0.80,0.06,13.84
0.90,0.06,14.37
1.00,0.06,14.87
1.10,0.06,15.37
1.20,0.06,15.91
1.30,0.06,16.33
1.40,0.06,16.89
1.50,0.06,17.45
1.60,0.06,17.88
1.70,0.06,18.42
1.80,0.06,18.94
1.90,0.06,19.52
2.00,0.06,19.99
2.10,0.06,20.51
2.20,0.06,21.08
2.30,0.06,21.58
2.40,0.06,22.06
2.50,0.06,22.61
2.60,0.06,23.13
2.70,0.06,23.61
2.80,0.06,24.15
2.90,0.06,24.69
3.00,0.06,25.18
3.10,0.06,25.71
3.20,0.06,26.19
3.30,0.07,26.72
3.40,0.07,27.21
3.50,0.07,27.70
3.60,0.07,28.23
3.70,0.07,28.77
3.80,0.07,29.23
3.90,0.07,29.75
4.00,0.07,30.34
4.10,0.07,30.83
4.20,0.07,31.34
4.30,0.07,31.88
4.40,0.07,32.38
4.50,0.07,32.89
4.60,0.07,33.42
4.70,0.07,33.95
4.80,0.07,34.52
4.90,0.07,34.95
5.00,0.07,35.53
5.10,0.07,36.03
5.20,0.07,36.55
5.30,0.07,37.03
5.40,0.07,37.54
5.50,0.07,38.07
5.60,0.07,38.56
5.70,0.07,39.08
5.80,0.07,39.63
5.90,0.07,40.11
6.00,0.07,40.60
6.10,0.07,41.12
6.20,0.07,41.64
6.30,0.08,42.16
6.40,0.08,42.68
6.50,0.08,43.22
6.60,0.08,43.69
6.70,0.08,44.21
6.80,0.08,44.74
6.90,0.08,45.28
7.00,0.08,45.77
7.10,0.08,46.27
7.20,0.08,46.89
7.30,0.08,47.37
7.40,0.08,47.89
7.50,0.08,48.38
7.60,0.08,48.97
7.70,0.08,49.43
7.80,0.08,49.94
7.90,0.08,50.45
8.00,0.08,51.03
8.10,0.08,51.45
8.20,0.08,52.01
8.30,0.08,52.55
8.40,0.08,52.98
8.50,0.08,53.49
8.60,0.08,54.07
8.70,0.08,54.53
8.80,0.08,54.98
8.90,0.08,55.53
9.00,0.08,56.07
9.10,0.08,56.56
9.20,0.08,57.08
9.30,0.08,57.59
9.40,0.08,58.15
9.50,0.08,58.61
9.60,0.09,59.18
9.70,0.09,59.71
9.80,0.09,60.21
9.90,0.09,60.69
10.00,0.09,61.24
10.10,0.09,61.78
10.20,0.09,62.30
10.30,0.09,62.82
10.40,0.09,63.36
10.50,0.09,63.88
10.60,0.09,64.37
10.70,0.09,64.81
10.80,0.09,65.43
10.90,0.09,65.89
11.00,0.09,66.42
11.10,0.09,66.90
11.20,0.09,67.43
11.30,0.09,67.93
11.40,0.09,68.42
11.50,0.09,68.99
11.60,0.09,69.48
11.70,0.09,69.99
11.80,0.09,70.50
11.90,0.09,71.04
12.00,0.09,71.53
12.10,0.09,72.07
12.20,0.09,72.60
12.30,0.09,73.11
12.40,0.09,73.60
12.50,0.09,74.14
12.60,0.09,74.70
12.70,0.09,75.19
12.80,0.10,75.70
12.90,0.10,76.18
13.00,0.10,76.78
13.10,0.10,77.23
13.20,0.10,77.78
13.30,0.10,78.32
13.40,0.10,78.84
13.50,0.10,79.29
13.60,0.10,79.82
13.70,0.10,80.34
13.80,0.10,80.84
13.90,0.10,81.33
14.00,0.10,81.89
14.10,0.10,82.40
14.20,0.10,82.86
14.30,0.10,83.42
14.40,0.10,83.91
14.50,0.10,84.42
14.60,0.10,84.92
14.70,0.10,85.47
14.80,0.10,85.97
14.90,0.10,86.54
15.00,0.10,87.01
15.10,0.10,87.59
15.20,0.10,88.07
15.30,0.10,88.58
15.40,0.10,89.13
15.50,0.10,89.68
15.60,0.10,90.10
15.70,0.10,90.69
15.80,0.10,91.20
15.90,0.10,91.69
16.00,0.10,92.22
16.10,0.10,92.74
16.20,0.11,93.27
16.30,0.11,93.76
16.40,0.11,94.26
16.50,0.11,94.77
16.60,0.11,95.27
