Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Specimen properties : Width,13,mm
Specimen properties : Thickness,3.58,mm
,,
Time,Extension,Load
(s),(mm),(N)
0,-1.70067,8.96
0.1,-1.6976,11.24
0.2,-1.69658,11.84
0.3,-1.69529,12.97
0.4,-1.69359,14.41
0.5,-1.69214,15.84
0.6,-1.69128,17.00
0.7,-1.69043,18.18
0.8,-1.68966,19.31
0.9,-1.68889,20.51
1,-1.68812,21.73
1.1,-1.68735,23.05
1.2,-1.6865,24.31
1.3,-1.68582,25.65
1.4,-1.68505,26.91
1.5,-1.68428,28.20
1.6,-1.6836,29.45
1.7,-1.68291,30.69
1.8,-1.68223,31.90
1.9,-1.68155,33.14
2,-1.68095,34.42
2.1,-1.68027,35.65
2.2,-1.67958,36.96
2.3,-1.6789,38.21
2.4,-1.6783,39.50
2.5,-1.67754,40.77
2.6,-1.67694,42.04
2.7,-1.67634,43.27
2.8,-1.67566,44.62
2.9,-1.67506,45.79
3,-1.67446,46.97
3.1,-1.67386,48.19
3.2,-1.67335,49.50
3.3,-1.67267,50.73
3.4,-1.67207,52.02
3.5,-1.67147,53.33
3.6,-1.67088,54.52
3.7,-1.67028,55.79
3.8,-1.66968,57.10
3.9,-1.66917,58.37
4,-1.66857,59.62
4.1,-1.66806,60.90
4.2,-1.66746,62.16
4.3,-1.66686,63.39
4.4,-1.66635,64.62
4.5,-1.66575,65.87
4.6,-1.66516,67.03
4.7,-1.66473,68.35
4.8,-1.66413,69.54
4.9,-1.66353,70.85
5,-1.66294,72.09
5.1,-1.66242,73.43
5.2,-1.66183,74.68
5.3,-1.66131,76.00
5.4,-1.66072,77.25
5.5,-1.6602,78.51
5.6,-1.65961,79.74
5.7,-1.65909,81.01
5.8,-1.65858,82.26
5.9,-1.65807,83.46
6,-1.65747,84.66
6.1,-1.65704,85.88
6.2,-1.65645,87.11
6.3,-1.65593,88.42
6.4,-1.65542,89.67
6.5,-1.65482,90.92
6.6,-1.65431,92.19
6.7,-1.6538,93.48
6.8,-1.6532,94.79
6.9,-1.65269,96.00
7,-1.65218,97.32
7.1,-1.65158,98.60
7.2,-1.65115,99.82
7.3,-1.65056,101.09
7.4,-1.65013,102.31
7.5,-1.64953,103.55
7.6,-1.64902,104.77
7.7,-1.64851,106.00
7.8,-1.64799,107.28
7.9,-1.64748,108.53
8,-1.64697,109.85
8.1,-1.64637,111.07
8.2,-1.64586,112.34
8.3,-1.64535,113.60
8.4,-1.64484,114.92
8.5,-1.64432,116.13
8.6,-1.64381,117.44
8.7,-1.6433,118.68
8.8,-1.64279,119.92
8.9,-1.64227,121.16
9,-1.64176,122.41
9.1,-1.64125,123.60
9.2,-1.64074,124.88
9.3,-1.64022,126.12
9.4,-1.63971,127.40
9.5,-1.6392,128.64
9.6,-1.63869,129.95
9.7,-1.63818,131.20
9.8,-1.63758,132.50
9.9,-1.63707,133.78
10,-1.63655,135.01
10.1,-1.63604,136.29
10.2,-1.63553,137.52
10.3,-1.63502,138.80
10.4,-1.6345,140.01
