Specimen choice input : Material,Steel
Specimen properties : Geometry,Rectangular
Specimen properties : Width,"13.03000",mm
Specimen properties : Thickness,"3.57000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","-1.86016","9.04447"
"0.10000","-1.85956","12.03890"
"0.20000","-1.85897","12.51339"
"0.30000","-1.85820","13.88208"
"0.40000","-1.85743","15.16781"
"0.50000","-1.85683","16.48805"
"0.60000","-1.85615","17.76705"
"0.70000","-1.85547","19.03289"
"0.80000","-1.85478","20.27990"
"0.90000","-1.85419","21.56802"
"1.00000","-1.85359","22.74826"
"1.10000","-1.85282","23.94246"
"1.20000","-1.85222","25.20928"
"1.30000","-1.85154","26.36059"
"1.40000","-1.85094","27.62620"
"1.50000","-1.85026","28.85830"
"1.60000","-1.84966","30.18620"
"1.70000","-1.84898","31.41373"
"1.80000","-1.84838","32.70994"
"1.90000","-1.84778","34.04113"
"2.00000","-1.84718","35.26540"
"2.10000","-1.84659","36.55472"
"2.20000","-1.84599","37.76378"
"2.30000","-1.84539","39.04797"
"2.40000","-1.84488","40.26333"
"2.50000","-1.84428","41.45074"
"2.60000","-1.84368","42.73932"
"2.70000","-1.84309","43.98363"
"2.80000","-1.84257","45.24220"
"2.90000","-1.84198","46.48223"
"3.00000","-1.84146","47.81687"
"3.10000","-1.84087","49.01068"
"3.20000","-1.84027","50.29359"
"3.30000","-1.83967","51.58722"
"3.40000","-1.83907","52.83265"
"3.50000","-1.83856","54.06009"
"3.60000","-1.83796","55.30262"
"3.70000","-1.83745","56.55856"
"3.80000","-1.83694","57.73148"
"3.90000","-1.83634","59.01514"
"4.00000","-1.83583","60.24266"
"4.10000","-1.83523","61.55364"
"4.20000","-1.83472","62.75093"
"4.30000","-1.83412","64.01559"
"4.40000","-1.83361","65.29442"
"4.50000","-1.83301","66.57937"
"4.60000","-1.83250","67.85141"
"4.70000","-1.83190","69.11203"
"4.80000","-1.83139","70.39333"
"4.90000","-1.83079","71.61115"
"5.00000","-1.83028","72.86904"
"5.10000","-1.82977","74.15257"
"5.20000","-1.82925","75.35348"
"5.30000","-1.82866","76.60979"
"5.40000","-1.82815","77.78500"
"5.50000","-1.82763","79.06405"
"5.60000","-1.82704","80.29812"
"5.70000","-1.82661","81.53288"
"5.80000","-1.82601","82.83416"
"5.90000","-1.82550","84.07394"
"6.00000","-1.82499","85.36829"
"6.10000","-1.82439","86.62559"
"6.20000","-1.82388","87.88651"
"6.30000","-1.82336","89.18777"
"6.40000","-1.82285","90.45839"
"6.50000","-1.82225","91.68954"
"6.60000","-1.82174","92.91291"
"6.70000","-1.82123","94.12104"
"6.80000","-1.82072","95.33817"
"6.90000","-1.82020","96.56803"
"7.00000","-1.81969","97.79700"
"7.10000","-1.81927","99.03568"
"7.20000","-1.81867","100.27299"
"7.30000","-1.81816","101.55132"
"7.40000","-1.81764","102.79546"
"7.50000","-1.81713","104.07160"
"7.60000","-1.81662","105.33328"
"7.70000","-1.81611","106.62139"
"7.80000","-1.81559","107.91174"
"7.90000","-1.81500","109.15565"
"8.00000","-1.81457","110.43605"
"8.10000","-1.81397","111.68160"
"8.20000","-1.81346","112.89080"
"8.30000","-1.81295","114.10765"
"8.40000","-1.81252","115.42514"
"8.50000","-1.81201","116.63462"
"8.60000","-1.81150","117.83795"
"8.70000","-1.81098","119.12558"
"8.80000","-1.81047","120.34309"
"8.90000","-1.80996","121.63366"
"9.00000","-1.80945","122.88730"
"9.10000","-1.80893","124.18777"
"9.20000","-1.80842","125.44785"
"9.30000","-1.80791","126.69784"
"9.40000","-1.80740","127.98478"
"9.50000","-1.80689","129.20238"
"9.60000","-1.80646","130.51779"
"9.70000","-1.80586","131.69942"
"9.80000","-1.80543","132.97835"
"9.90000","-1.80492","134.15918"
"10.00000","-1.80441","135.38739"
"10.10000","-1.80390","136.64423"
"10.20000","-1.80347","137.91821"
"10.30000","-1.80296","139.14667"
"10.40000","-1.80245","140.37938"
"10.50000","-1.80193","141.66539"
"10.60000","-1.80142","142.92296"
"10.70000","-1.80099","144.20514"
"10.80000","-1.80040","145.45004"
"10.90000","-1.79997","146.73898"
"11.00000","-1.79946","148.01756"
"11.10000","-1.79895","149.27618"
"11.20000","-1.79843","150.52982"
"11.30000","-1.79792","151.74495"
"11.40000","-1.79749","153.03690"
"11.50000","-1.79698","154.23592"
"11.60000","-1.79655","155.50583"
"11.70000","-1.79604","156.70370"
"11.80000","-1.79553","157.94856"
"11.90000","-1.79502","159.21661"
"12.00000","-1.79459","160.46014"
"12.10000","-1.79408","161.68483"
"12.20000","-1.79357","162.94862"
"12.30000","-1.79314","164.18811"
"12.40000","-1.79263","165.50940"
"12.50000","-1.79211","166.80211"
"12.60000","-1.79160","168.04681"
"12.70000","-1.79109","169.31017"
"12.80000","-1.79058","170.52119"
"12.90000","-1.79015","171.82906"
"13.00000","-1.78964","173.06447"
"13.10000","-1.78921","174.30135"
"13.20000","-1.78870","175.56561"
"13.30000","-1.78819","176.76115"
"13.40000","-1.78776","177.95842"
"13.50000","-1.78725","179.21127"
"13.60000","-1.78682","180.45705"
"13.70000","-1.78631","181.65131"
"13.80000","-1.78580","182.95964"
"13.90000","-1.78537","184.17737"
"14.00000","-1.78486","185.45497"
"14.10000","-1.78435","186.74101"
"14.20000","-1.78383","187.96776"
"14.30000","-1.78341","189.30974"
"14.40000","-1.78289","190.51611"
"14.50000","-1.78238","191.80772"
"14.60000","-1.78187","193.04782"
"14.70000","-1.78144","194.33301"
"14.80000","-1.78102","195.60307"
"14.90000","-1.78050","196.80182"
"15.00000","-1.78008","198.01727"
"15.10000","-1.77956","199.28494"
"15.20000","-1.77914","200.50826"
"15.30000","-1.77863","201.71910"
"15.40000","-1.77811","202.99564"
"15.50000","-1.77769","204.29288"
"15.60000","-1.77717","205.53465"
"15.70000","-1.77666","206.78787"
"15.80000","-1.77623","208.02437"
"15.90000","-1.77572","209.35411"
"16.00000","-1.77521","210.56775"
"16.10000","-1.77478","211.86572"
"16.20000","-1.77427","213.12848"
"16.30000","-1.77384","214.38062"
"16.40000","-1.77333","215.59065"
"16.50000","-1.77282","216.87291"
"16.60000","-1.77239","218.08170"
"16.70000","-1.77197","219.29030"
"16.80000","-1.77145","220.55788"
"16.90000","-1.77103","221.77956"
"17.00000","-1.77051","223.07301"
"17.10000","-1.77009","224.29128"
"17.20000","-1.76957","225.60226"
"17.30000","-1.76906","226.79779"
"17.40000","-1.76864","228.07925"
"17.50000","-1.76812","229.31009"
"17.60000","-1.76770","230.60898"
"17.70000","-1.76718","231.86652"
"17.80000","-1.76667","233.18723"
"17.90000","-1.76625","234.43796"
"18.00000","-1.76573","235.66879"
"18.10000","-1.76531","236.93193"
"18.20000","-1.76479","238.11414"
"18.30000","-1.76437","239.40755"
"18.40000","-1.76394","240.61530"
"18.50000","-1.76343","241.87949"
"18.60000","-1.76300","243.09489"
"18.70000","-1.76249","244.34726"
"18.80000","-1.76206","245.57652"
"18.90000","-1.76155","246.77815"
