Specimen choice input : Material,Steel,,,,
Specimen properties : Geometry,Rectangular,,,,
Width,13.03,mm,,,
Thickness,3.57,mm,,,
,,,,,
Time,Extension,Load,,,
(s),(mm),(N),,Stress,Strain
0,-1.88569,9.04,,601.6209863,-0.015651747
0.1,-1.88441,11.86,,789.2947896,-0.015641122
0.2,-1.88364,12.48,,830.5564059,-0.015634731
0.3,-1.88279,13.7,,911.7486187,-0.015627676
0.4,-1.88176,15,,998.264911,-0.015619127
0.5,-1.88091,16.33,,1086.777733,-0.015612071
0.6,-1.87997,17.67,,1175.956065,-0.015604269
0.7,-1.87912,18.9,,1257.813788,-0.015597214
0.8,-1.87826,20.2,,1344.33008,-0.015590076
0.9,-1.87749,21.39,,1423.525763,-0.015583684
1,-1.87673,22.56,,1501.390426,-0.015577376
1.1,-1.87596,23.84,,1586.575699,-0.015570985
1.2,-1.87519,25.06,,1667.767911,-0.015564594
1.3,-1.87442,26.4,,1756.946243,-0.015558203
1.4,-1.87365,27.62,,1838.138456,-0.015551811
1.5,-1.87297,28.95,,1926.651278,-0.015546167
1.6,-1.8722,30.22,,2011.171041,-0.015539776
1.7,-1.87152,31.48,,2095.025293,-0.015534132
1.8,-1.87092,32.74,,2178.879546,-0.015529152
1.9,-1.87024,33.95,,2259.406249,-0.015523507
2,-1.86964,35.15,,2339.267441,-0.015518527
2.1,-1.86896,36.36,,2419.794144,-0.015512883
2.2,-1.86836,37.62,,2503.648397,-0.015507903
2.3,-1.86768,38.88,,2587.502649,-0.015502259
2.4,-1.86708,40.12,,2670.025882,-0.015497279
2.5,-1.86648,41.38,,2753.880134,-0.015492298
2.6,-1.8658,42.68,,2840.396427,-0.015486654
2.7,-1.8652,43.97,,2926.247209,-0.015481674
2.8,-1.86452,45.22,,3009.435952,-0.01547603
2.9,-1.86392,46.52,,3095.952244,-0.01547105
3,-1.86332,47.74,,3177.144457,-0.015466069
3.1,-1.86272,48.99,,3260.333199,-0.015461089
3.2,-1.86213,50.25,,3344.187452,-0.015456192
3.3,-1.86153,51.47,,3425.379665,-0.015451212
3.4,-1.86093,52.71,,3507.902897,-0.015446232
3.5,-1.86042,53.92,,3588.4296,-0.015441999
3.6,-1.85982,55.17,,3671.618343,-0.015437019
3.7,-1.85922,56.39,,3752.810555,-0.015432038
3.8,-1.85863,57.64,,3835.999298,-0.015427141
3.9,-1.85803,58.96,,3923.84661,-0.015422161
4,-1.85752,60.22,,4007.700863,-0.015417928
4.1,-1.85692,61.5,,4092.886135,-0.015412948
4.2,-1.85632,62.78,,4178.071407,-0.015407968
4.3,-1.85572,64.03,,4261.26015,-0.015402987
4.4,-1.85521,65.29,,4345.114403,-0.015398754
4.5,-1.85461,66.52,,4426.972125,-0.015393774
4.6,-1.8541,67.79,,4511.491888,-0.015389541
4.7,-1.8535,68.98,,4590.687571,-0.015384561
4.8,-1.85299,70.21,,4672.545293,-0.015380328
4.9,-1.85239,71.43,,4753.737506,-0.015375347
5,-1.85188,72.66,,4835.595229,-0.015371114
5.1,-1.85137,73.88,,4916.787442,-0.015366881
5.2,-1.85077,75.14,,5000.641694,-0.015361901
5.3,-1.85026,76.41,,5085.161457,-0.015357668
5.4,-1.84966,77.67,,5169.015709,-0.015352688
5.5,-1.84906,78.93,,5252.869962,-0.015347708
5.6,-1.84855,80.3,,5344.044823,-0.015343474
5.7,-1.84795,81.46,,5421.243977,-0.015338494
5.8,-1.84744,82.79,,5509.756799,-0.015334261
5.9,-1.84684,84.03,,5592.280031,-0.015329281
6,-1.84633,85.27,,5674.803264,-0.015325048
6.1,-1.84573,86.55,,5759.988536,-0.015320068
6.2,-1.84522,87.75,,5839.849729,-0.015315834
6.3,-1.84471,89.02,,5924.369492,-0.015311601
6.4,-1.84411,90.24,,6005.561704,-0.015306621
6.5,-1.8436,91.45,,6086.088407,-0.015302388
6.6,-1.84309,92.75,,6172.6047,-0.015298155
6.7,-1.84249,93.96,,6253.131402,-0.015293175
6.8,-1.84206,95.25,,6338.982185,-0.015289606
6.9,-1.84146,96.48,,6420.839907,-0.015284625
7,-1.84087,97.81,,6509.35273,-0.015279728
7.1,-1.84035,99.11,,6595.869022,-0.015275412
7.2,-1.83984,100.27,,6673.068175,-0.015271179
7.3,-1.83933,101.64,,6764.243037,-0.015266946
7.4,-1.83873,102.82,,6842.77321,-0.015261966
7.5,-1.83831,104.06,,6925.296442,-0.01525848
7.6,-1.83771,105.28,,7006.488655,-0.015253499
7.7,-1.8372,106.56,,7091.673928,-0.015249266
7.8,-1.83668,107.7,,7167.542061,-0.01524495
7.9,-1.83626,109.07,,7258.716923,-0.015241464
8,-1.83566,110.28,,7339.243625,-0.015236484
8.1,-1.83506,111.42,,7415.111759,-0.015231504
8.2,-1.83463,112.74,,7502.959071,-0.015227935
8.3,-1.83412,114.11,,7594.133933,-0.015223701
8.4,-1.83352,115.25,,7670.002066,-0.015218721
8.5,-1.8331,116.53,,7755.187338,-0.015215235
8.6,-1.8325,117.89,,7845.69669,-0.015210255
8.7,-1.83199,119.13,,7928.219923,-0.015206022
8.8,-1.83147,120.36,,8010.077646,-0.015201706
8.9,-1.83105,121.69,,8098.590468,-0.01519822
9,-1.83045,122.89,,8178.451661,-0.015193239
9.1,-1.82994,124.07,,8256.981834,-0.015189006
9.2,-1.82951,125.39,,8344.829146,-0.015185437
9.3,-1.82891,126.6,,8425.355849,-0.015180457
9.4,-1.8284,127.79,,8504.551532,-0.015176224
9.5,-1.82789,129.05,,8588.405784,-0.015171991
9.6,-1.82738,130.31,,8672.260037,-0.015167758
9.7,-1.82686,131.52,,8752.786739,-0.015163441
9.8,-1.82644,132.79,,8837.306502,-0.015159955
9.9,-1.82584,134.07,,8922.491774,-0.015154975
10,-1.82533,135.31,,9005.015007,-0.015150742
10.1,-1.82482,136.63,,9092.862319,-0.015146509
10.2,-1.8243,137.9,,9177.382082,-0.015142193
10.3,-1.82379,139.14,,9259.905314,-0.01513796
10.4,-1.82328,140.45,,9347.087116,-0.015133726
10.5,-1.82277,141.65,,9426.948309,-0.015129493
10.6,-1.82225,142.9,,9510.137052,-0.015125177
10.7,-1.82174,144.15,,9593.325794,-0.015120944
10.8,-1.82123,145.39,,9675.849027,-0.015116711
10.9,-1.82072,146.6,,9756.37573,-0.015112478
11,-1.8202,147.82,,9837.567943,-0.015108162
11.1,-1.81978,149.09,,9922.087705,-0.015104675
11.2,-1.81927,150.23,,9997.955838,-0.015100442
11.3,-1.81875,151.55,,10085.80315,-0.015096126
11.4,-1.81824,152.78,,10167.66087,-0.015091893
11.5,-1.81773,154.03,,10250.84962,-0.01508766
11.6,-1.81722,155.29,,10334.70387,-0.015083427
11.7,-1.8167,156.56,,10419.22363,-0.015079111
11.8,-1.81619,157.86,,10505.73992,-0.015074877
11.9,-1.81568,159.15,,10591.59071,-0.015070644
12,-1.81517,160.41,,10675.44496,-0.015066411
12.1,-1.81466,161.66,,10758.6337,-0.015062178
12.2,-1.81414,162.9,,10841.15693,-0.015057862
12.3,-1.81372,164.17,,10925.6767,-0.015054376
12.4,-1.8132,165.41,,11008.19993,-0.01505006
12.5,-1.81269,166.65,,11090.72316,-0.015045827
12.6,-1.81218,167.87,,11171.91537,-0.015041593
12.7,-1.81175,169.08,,11252.44208,-0.015038024
12.8,-1.81124,170.38,,11338.95837,-0.015033791
12.9,-1.81064,171.59,,11419.48507,-0.015028811
13,-1.81022,172.89,,11506.00136,-0.015025325
13.1,-1.8097,174.13,,11588.5246,-0.015021009
13.2,-1.80919,175.42,,11674.37538,-0.015016776
13.3,-1.80868,176.66,,11756.89861,-0.015012542
13.4,-1.80817,177.95,,11842.74939,-0.015008309
13.5,-1.80774,179.19,,11925.27263,-0.01500474
13.6,-1.80723,180.46,,12009.79239,-0.015000507
13.7,-1.80671,181.71,,12092.98113,-0.014996191
13.8,-1.8062,183,,12178.83191,-0.014991958
13.9,-1.80569,184.17,,12256.69658,-0.014987725
14,-1.80526,185.47,,12343.21287,-0.014984155
14.1,-1.80475,186.64,,12421.07753,-0.014979922
14.2,-1.80432,187.92,,12506.2628,-0.014976353
14.3,-1.80381,189.16,,12588.78604,-0.01497212
14.4,-1.8033,190.4,,12671.30927,-0.014967887
14.5,-1.80279,191.65,,12754.49801,-0.014963654
14.6,-1.80228,192.88,,12836.35574,-0.014959421
14.7,-1.80185,194.18,,12922.87203,-0.014955852
14.8,-1.80134,195.42,,13005.39526,-0.014951618
14.9,-1.80082,196.71,,13091.24604,-0.014947302
15,-1.80031,197.95,,13173.76928,-0.014943069
15.1,-1.7998,199.25,,13260.28557,-0.014938836
15.2,-1.79937,200.52,,13344.80533,-0.014935267
15.3,-1.79886,201.77,,13427.99407,-0.014931034
15.4,-1.79835,203.03,,13511.84833,-0.014926801
15.5,-1.79784,204.27,,13594.37156,-0.014922567
15.6,-1.79741,205.49,,13675.56377,-0.014918998
15.7,-1.7969,206.77,,13760.74904,-0.014914765
15.8,-1.79647,207.95,,13839.27922,-0.014911196
15.9,-1.79596,209.22,,13923.79898,-0.014906963
16,-1.79544,210.44,,14004.99119,-0.014902647
16.1,-1.79502,211.72,,14090.17646,-0.014899161
16.2,-1.79451,212.9,,14168.70664,-0.014894928
16.3,-1.79399,214.17,,14253.2264,-0.014890611
16.4,-1.79357,215.46,,14339.07718,-0.014887125
16.5,-1.79305,216.71,,14422.26592,-0.014882809
16.6,-1.79254,218,,14508.11671,-0.014878576
16.7,-1.79203,219.23,,14589.97443,-0.014874343
16.8,-1.79152,220.55,,14677.82174,-0.01487011
16.9,-1.79109,221.79,,14760.34497,-0.014866541
17,-1.79058,223.06,,14844.86474,-0.014862307
17.1,-1.79015,224.29,,14926.72246,-0.014858738
17.2,-1.78964,225.53,,15009.24569,-0.014854505
17.3,-1.78913,226.78,,15092.43443,-0.014850272
17.4,-1.7887,228.01,,15174.29216,-0.014846703
17.5,-1.78819,229.23,,15255.48437,-0.01484247
17.6,-1.78776,230.49,,15339.33862,-0.014838901
17.7,-1.78725,231.74,,15422.52736,-0.014834668
17.8,-1.78674,232.93,,15501.72305,-0.014830434
17.9,-1.78631,234.18,,15584.91179,-0.014826865
18,-1.7858,235.41,,15666.76951,-0.014822632
18.1,-1.78528,236.69,,15751.95479,-0.014818316
18.2,-1.78486,237.93,,15834.47802,-0.01481483
18.3,-1.78435,239.23,,15920.99431,-0.014810597
18.4,-1.78383,240.48,,16004.18305,-0.014806281
18.5,-1.78341,241.8,,16092.03036,-0.014802794
18.6,-1.78289,243.02,,16173.22258,-0.014798478
18.7,-1.78238,244.31,,16259.07336,-0.014794245
18.8,-1.78195,245.57,,16342.92761,-0.014790676
18.9,-1.78144,246.84,,16427.44738,-0.014786443
19,-1.78093,248.05,,16507.97408,-0.01478221
19.1,-1.7805,249.31,,16591.82833,-0.014778641
19.2,-1.77999,250.55,,16674.35156,-0.014774408
19.3,-1.77956,251.76,,16754.87827,-0.014770838
19.4,-1.77905,252.97,,16835.40497,-0.014766605
19.5,-1.77863,254.24,,16919.92473,-0.014763119
19.6,-1.77811,255.5,,17003.77898,-0.014758803
19.7,-1.7776,256.79,,17089.62977,-0.01475457
19.8,-1.77709,258.02,,17171.48749,-0.014750337
19.9,-1.77666,259.3,,17256.67276,-0.014746768
20,-1.77615,260.56,,17340.52701,-0.014742534
20.1,-1.77572,261.83,,17425.04678,-0.014738965
20.2,-1.77521,263.11,,17510.23205,-0.014734732
20.3,-1.77478,264.34,,17592.08977,-0.014731163
20.4,-1.77427,265.59,,17675.27851,-0.01472693
20.5,-1.77376,266.87,,17760.46379,-0.014722697
20.6,-1.77333,268.09,,17841.656,-0.014719128
20.7,-1.77282,269.35,,17925.51025,-0.014714895
20.8,-1.77239,270.57,,18006.70246,-0.014711325
20.9,-1.77197,271.78,,18087.22917,-0.014707839
21,-1.77145,273.03,,18170.41791,-0.014703523
21.1,-1.77094,274.31,,18255.60318,-0.01469929
21.2,-1.77051,275.56,,18338.79192,-0.014695721
21.3,-1.77,276.77,,18419.31863,-0.014691488
21.4,-1.76957,278.05,,18504.5039,-0.014687919
21.5,-1.76906,279.33,,18589.68917,-0.014683685
21.6,-1.76864,280.58,,18672.87791,-0.014680199
21.7,-1.76812,281.88,,18759.39421,-0.014675883
21.8,-1.76761,283.11,,18841.25193,-0.01467165
21.9,-1.76718,284.41,,18927.76822,-0.014668081
22,-1.76667,285.62,,19008.29492,-0.014663848
22.1,-1.76625,286.93,,19095.47673,-0.014660362
22.2,-1.76573,288.19,,19179.33098,-0.014656046
22.3,-1.76531,289.42,,19261.1887,-0.014652559
22.4,-1.76479,290.66,,19343.71193,-0.014648243
22.5,-1.76437,291.88,,19424.90415,-0.014644757
22.6,-1.76385,293.12,,19507.42738,-0.014640441
22.7,-1.76343,294.35,,19589.2851,-0.014636955
22.8,-1.76292,295.59,,19671.80834,-0.014632722
22.9,-1.76249,296.86,,19756.3281,-0.014629153
23,-1.76198,298.05,,19835.52378,-0.01462492
23.1,-1.76155,299.32,,19920.04354,-0.01462135
23.2,-1.76104,300.61,,20005.89433,-0.014617117
23.3,-1.76061,301.86,,20089.08307,-0.014613548
23.4,-1.7601,303.14,,20174.26834,-0.014609315
23.5,-1.75967,304.38,,20256.79157,-0.014605746
23.6,-1.75916,305.7,,20344.63889,-0.014601513
23.7,-1.75865,306.95,,20427.82763,-0.01459728
23.8,-1.75822,308.19,,20510.35086,-0.014593711
23.9,-1.75779,309.48,,20596.20164,-0.014590141
24,-1.75728,310.68,,20676.06284,-0.014585908
24.1,-1.75685,311.92,,20758.58607,-0.014582339
24.2,-1.75634,313.19,,20843.10583,-0.014578106
24.3,-1.75591,314.41,,20924.29804,-0.014574537
24.4,-1.7554,315.63,,21005.49026,-0.014570304
24.5,-1.75497,316.86,,21087.34798,-0.014566735
24.6,-1.75455,318.1,,21169.87121,-0.014563248
24.7,-1.75404,319.32,,21251.06342,-0.014559015
24.8,-1.75361,320.58,,21334.91768,-0.014555446
24.9,-1.7531,321.82,,21417.44091,-0.014551213
25,-1.75258,323.08,,21501.29516,-0.014546897
25.1,-1.75216,324.39,,21588.47696,-0.014543411
25.2,-1.75164,325.63,,21671.0002,-0.014539095
25.3,-1.75122,326.92,,21756.85098,-0.014535609
25.4,-1.75071,328.18,,21840.70523,-0.014531375
25.5,-1.75028,329.44,,21924.55948,-0.014527806
25.6,-1.74977,330.7,,22008.41374,-0.014523573
25.7,-1.74934,331.96,,22092.26799,-0.014520004
25.8,-1.74883,333.19,,22174.12571,-0.014515771
25.9,-1.7484,334.43,,22256.64895,-0.014512202
26,-1.74789,335.7,,22341.16871,-0.014507969
26.1,-1.74746,336.95,,22424.35745,-0.0145044
26.2,-1.74703,338.16,,22504.88415,-0.01450083
26.3,-1.74652,339.42,,22588.73841,-0.014496597
26.4,-1.7461,340.63,,22669.26511,-0.014493111
26.5,-1.74558,341.91,,22754.45038,-0.014488795
26.6,-1.74516,343.18,,22838.97014,-0.014485309
26.7,-1.74464,344.41,,22920.82787,-0.014480993
26.8,-1.74422,345.71,,23007.34416,-0.014477507
26.9,-1.7437,346.94,,23089.20188,-0.014473191
27,-1.74328,348.25,,23176.38368,-0.014469704
27.1,-1.74277,349.51,,23260.23794,-0.014465471
27.2,-1.74234,350.73,,23341.43015,-0.014461902
27.3,-1.74183,352,,23425.94991,-0.014457669
27.4,-1.7414,353.24,,23508.47314,-0.0144541
27.5,-1.74089,354.51,,23592.99291,-0.014449867
27.6,-1.74046,355.78,,23677.51267,-0.014446298
27.7,-1.74003,356.97,,23756.70835,-0.014442728
27.8,-1.73952,358.2,,23838.56607,-0.014438495
27.9,-1.73909,359.44,,23921.08931,-0.014434926
28,-1.73858,360.72,,24006.27458,-0.014430693
28.1,-1.73816,361.9,,24084.80475,-0.014427207
28.2,-1.73764,363.2,,24171.32104,-0.014422891
28.3,-1.73722,364.45,,24254.50979,-0.014419405
28.4,-1.7367,365.71,,24338.36404,-0.014415089
28.5,-1.73628,366.94,,24420.22176,-0.014411602
28.6,-1.73576,368.25,,24507.40356,-0.014407286
28.7,-1.73534,369.55,,24593.91986,-0.0144038
28.8,-1.73483,370.75,,24673.78105,-0.014399567
28.9,-1.7344,372.08,,24762.29387,-0.014395998
29,-1.73397,373.27,,24841.48955,-0.014392429
29.1,-1.73346,374.54,,24926.00932,-0.014388196
29.2,-1.73303,375.81,,25010.52908,-0.014384627
29.3,-1.73252,377.07,,25094.38333,-0.014380393
29.4,-1.73209,378.29,,25175.57554,-0.014376824
29.5,-1.73167,379.52,,25257.43327,-0.014373338
29.6,-1.73124,380.79,,25341.95303,-0.014369769
29.7,-1.73073,381.99,,25421.81422,-0.014365536
29.8,-1.7303,383.21,,25503.00644,-0.014361967
29.9,-1.72987,384.46,,25586.19518,-0.014358398
30,-1.72936,385.74,,25671.38045,-0.014354165
30.1,-1.72893,386.98,,25753.90368,-0.014350595
30.2,-1.72842,388.23,,25837.09243,-0.014346362
30.3,-1.728,389.52,,25922.94321,-0.014342876
30.4,-1.72748,390.77,,26006.13195,-0.01433856
30.5,-1.72706,392.03,,26089.9862,-0.014335074
30.6,-1.72663,393.32,,26175.83699,-0.014331505
30.7,-1.72612,394.58,,26259.69124,-0.014327272
30.8,-1.7256,395.86,,26344.87651,-0.014322956
30.9,-1.72518,397.09,,26426.73423,-0.014319469
31,-1.72475,398.35,,26510.58849,-0.0143159
31.1,-1.72432,399.6,,26593.77723,-0.014312331
31.2,-1.72381,400.81,,26674.30393,-0.014308098
31.3,-1.72338,402.05,,26756.82716,-0.014304529
31.4,-1.72296,403.3,,26840.01591,-0.014301043
31.5,-1.72245,404.52,,26921.20812,-0.01429681
31.6,-1.72202,405.77,,27004.39686,-0.014293241
31.7,-1.72159,406.95,,27082.92703,-0.014289671
31.8,-1.72108,408.22,,27167.4468,-0.014285438
31.9,-1.72065,409.48,,27251.30105,-0.014281869
32,-1.72014,410.72,,27333.82428,-0.014277636
32.1,-1.71971,412.01,,27419.67506,-0.014274067
32.2,-1.7192,413.28,,27504.19483,-0.014269834
32.3,-1.71877,414.55,,27588.71459,-0.014266265
32.4,-1.71826,415.82,,27673.23435,-0.014262031
32.5,-1.71783,417.1,,27758.41962,-0.014258462
32.6,-1.71741,418.34,,27840.94286,-0.014254976
32.7,-1.7169,419.62,,27926.12813,-0.014250743
32.8,-1.71647,420.88,,28009.98238,-0.014247174
32.9,-1.71604,422.11,,28091.8401,-0.014243605
33,-1.71561,423.37,,28175.69436,-0.014240036
33.1,-1.7151,424.59,,28256.88657,-0.014235803
33.2,-1.71468,425.84,,28340.07531,-0.014232317
33.3,-1.71425,426.99,,28416.60896,-0.014228747
33.4,-1.71374,428.3,,28503.79076,-0.014224514
33.5,-1.71331,429.55,,28586.9795,-0.014220945
33.6,-1.71288,430.82,,28671.49926,-0.014217376
33.7,-1.71237,432.08,,28755.35352,-0.014213143
33.8,-1.71194,433.35,,28839.87328,-0.014209574
33.9,-1.71152,434.61,,28923.72753,-0.014206088
34,-1.711,435.88,,29008.24729,-0.014201771
34.1,-1.71058,437.11,,29090.10502,-0.014198285
34.2,-1.71007,438.38,,29174.62478,-0.014194052
34.3,-1.70964,439.65,,29259.14454,-0.014190483
34.4,-1.70921,440.9,,29342.33328,-0.014186914
34.5,-1.7087,442.15,,29425.52203,-0.014182681
34.6,-1.70827,443.4,,29508.71077,-0.014179112
34.7,-1.70785,444.67,,29593.23053,-0.014175626
34.8,-1.70733,445.89,,29674.42274,-0.014171309
34.9,-1.70691,447.11,,29755.61496,-0.014167823
35,-1.70648,448.31,,29835.47615,-0.014164254
35.1,-1.70597,449.62,,29922.65795,-0.014160021
35.2,-1.70554,450.85,,30004.51567,-0.014156452
35.3,-1.70511,452.11,,30088.36993,-0.014152883
35.4,-1.70469,453.39,,30173.5552,-0.014149397
35.5,-1.70417,454.62,,30255.41292,-0.014145081
35.6,-1.70375,455.89,,30339.93268,-0.014141594
35.7,-1.70324,457.16,,30424.45245,-0.014137361
35.8,-1.70281,458.41,,30507.64119,-0.014133792
35.9,-1.7023,459.69,,30592.82646,-0.014129559
36,-1.70187,460.96,,30677.34622,-0.01412599
36.1,-1.70144,462.2,,30759.86946,-0.014122421
36.2,-1.70093,463.47,,30844.38922,-0.014118188
36.3,-1.7005,464.69,,30925.58143,-0.014114619
36.4,-1.70008,465.97,,31010.7667,-0.014111132
36.5,-1.69965,467.21,,31093.28994,-0.014107563
36.6,-1.69914,468.44,,31175.14766,-0.01410333
36.7,-1.69871,469.64,,31255.00885,-0.014099761
36.8,-1.69828,470.89,,31338.1976,-0.014096192
36.9,-1.69777,472.15,,31422.05185,-0.014091959
37,-1.69734,473.41,,31505.9061,-0.01408839
37.1,-1.69692,474.61,,31585.76729,-0.014084904
37.2,-1.69649,475.89,,31670.95257,-0.014081334
37.3,-1.69598,477.19,,31757.46886,-0.014077101
37.4,-1.69555,478.44,,31840.6576,-0.014073532
37.5,-1.69504,479.7,,31924.51185,-0.014069299
37.6,-1.69461,480.96,,32008.36611,-0.01406573
37.7,-1.6941,482.21,,32091.55485,-0.014061497
37.8,-1.69367,483.47,,32175.4091,-0.014057928
37.9,-1.69325,484.76,,32261.25988,-0.014054442
38,-1.69273,485.98,,32342.4521,-0.014050125
38.1,-1.69231,487.29,,32429.6339,-0.014046639
38.2,-1.69188,488.52,,32511.49162,-0.01404307
38.3,-1.69145,489.73,,32592.01832,-0.014039501
