Material,Steel,
Geometry,Rectangular,
Width,3.502,mm
Thickness,2.49,mm
Length,50.8,mm
,,
Time,Extension,Load
(s),(mm),(N)
0.00,0,102.09
0.10,0.00026,102.17
0.20,0.00179,106.75
0.30,0.00495,121.67
0.40,0.00692,128.65
0.50,0.00845,133.71
0.60,0.00999,138.5
0.70,0.01187,144.2
0.80,0.01375,150
0.90,0.01537,155.17
1.00,0.01682,160.8
1.10,0.01836,166.82
1.20,0.02023,175.53
1.30,0.02228,185.31
1.40,0.02391,193.68
1.50,0.02544,201.6
1.60,0.02707,210.13
1.70,0.02877,218.98
1.80,0.03057,229.34
1.90,0.03219,239.29
2.00,0.03372,248.65
2.10,0.03543,259.54
2.20,0.03731,273.41
2.30,0.0391,287.13
2.40,0.04073,299.29
2.50,0.04226,311.64
2.60,0.04397,325.38
2.70,0.04593,341.68
2.80,0.04756,356.57
2.90,0.04909,368.76
3.00,0.05054,379.65
3.10,0.05234,394.17
3.20,0.0543,412.73
3.30,0.05609,429.33
3.40,0.05772,443.04
3.50,0.05925,455.66
3.60,0.06088,470.01
3.70,0.06267,486.25
3.80,0.06438,501.7
3.90,0.06591,515.76
4.00,0.06754,530.19
4.10,0.06941,546.88
4.20,0.07129,563.87
4.30,0.07291,578.82
4.40,0.07445,592.37
4.50,0.07616,607.11
4.60,0.07804,623.92
4.70,0.07974,640.67
4.80,0.08128,653.42
4.90,0.08273,665.82
5.00,0.08444,680.17
5.10,0.08649,698.61
5.20,0.08828,715.56
5.30,0.0899,729.16
5.40,0.09144,742.27
5.50,0.09306,756.11
5.60,0.09486,771.29
5.70,0.09656,786.59
5.80,0.0981,800.02
5.90,0.09972,813.4
6.00,0.10152,828.75
6.10,0.10348,845.16
6.20,0.1051,859.84
6.30,0.10672,872.8
6.40,0.10835,886.13
6.50,0.11014,901.04
6.60,0.11202,917.46
6.70,0.11347,929.51
6.80,0.11492,940.9
6.90,0.11654,953.36
7.00,0.11859,970
7.10,0.12047,986.8
7.20,0.12209,999.37
7.30,0.12363,1011.14
7.40,0.12525,1023.44
7.50,0.12696,1035.91
7.60,0.12875,1049.63
7.70,0.13037,1061.92
7.80,0.13191,1073.35
7.90,0.1337,1086.17
8.00,0.13558,1101.34
8.10,0.13729,1115.1
8.20,0.13883,1126.02
8.30,0.14045,1136.96
8.40,0.14224,1149.97
8.50,0.14412,1164.38
8.60,0.14574,1175.5
8.70,0.14719,1184.71
8.80,0.14873,1194.56
8.90,0.15069,1208.68
9.00,0.15266,1224.02
9.10,0.15428,1234.8
9.20,0.15582,1244.31
9.30,0.15735,1254.4
9.40,0.15915,1266.33
9.50,0.16094,1279.01
9.60,0.16256,1289.84
9.70,0.1641,1298.96
9.80,0.16589,1310.28
9.90,0.16777,1323.79
10.00,0.16948,1335.56
10.10,0.1711,1344.98
10.20,0.17272,1354.73
10.30,0.17443,1365.16
10.40,0.17631,1376.39
10.50,0.17785,1385.89
10.60,0.17938,1394.03
10.70,0.18083,1402.36
10.80,0.1828,1414.53
10.90,0.18476,1428.16
11.00,0.18647,1438.9
11.10,0.18801,1446.85
11.20,0.18954,1454.85
11.30,0.19134,1465.23
11.40,0.19313,1475.87
11.50,0.19475,1485.25
11.60,0.19629,1493.08
11.70,0.19808,1502.68
11.80,0.19987,1513.66
11.90,0.20167,1524.79
12.00,0.20329,1533.2
12.10,0.20483,1541
12.20,0.20653,1550.71
12.30,0.20841,1561.31
12.40,0.21012,1571.59
12.50,0.21166,1578.47
12.60,0.21311,1585.11
12.70,0.2149,1594.17
12.80,0.21695,1607.09
