Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,7.091,mm
Thickness,7.091,mm
,,
Time,Extension,Load
(s),(mm),(N)
0,0.04,8.99
0.1,0.05,11.88
0.2,0.05,14.58
0.3,0.05,17.42
0.4,0.05,20
0.5,0.05,22.57
0.6,0.05,25.35
0.7,0.05,28.09
0.8,0.06,30.82
0.9,0.06,33.6
1,0.06,36.14
1.1,0.06,38.83
1.2,0.06,41.43
1.3,0.06,44.12
1.4,0.06,46.84
1.5,0.06,49.56
1.6,0.06,52.3
1.7,0.06,55.07
1.8,0.06,57.7
1.9,0.06,60.45
2,0.07,63.01
2.1,0.07,65.83
2.2,0.07,68.28
2.3,0.07,71.04
2.4,0.07,73.8
2.5,0.07,76.36
2.6,0.07,79.14
2.7,0.07,81.79
2.8,0.07,84.52
2.9,0.07,87.32
3,0.07,89.89
3.1,0.07,92.72
3.2,0.07,95.43
3.3,0.07,98.04
3.4,0.07,100.65
3.5,0.07,103.27
3.6,0.07,106.03
3.7,0.08,108.61
3.8,0.08,111.32
3.9,0.08,113.97
4,0.08,116.65
4.1,0.08,119.4
4.2,0.08,122.06
4.3,0.08,124.77
4.4,0.08,127.55
4.5,0.08,130.25
4.6,0.08,133.02
4.7,0.08,135.6
4.8,0.08,138.29
4.9,0.08,140.99
5,0.08,143.72
5.1,0.08,146.39
5.2,0.08,148.95
5.3,0.08,151.65
5.4,0.08,154.39
5.5,0.08,156.97
5.6,0.08,159.79
5.7,0.09,162.52
5.8,0.09,165.15
5.9,0.09,167.87
6,0.09,170.49
6.1,0.09,173.24
6.2,0.09,176.05
6.3,0.09,178.62
6.4,0.09,181.36
6.5,0.09,183.99
6.6,0.09,186.75
6.7,0.09,189.48
6.8,0.09,192.07
6.9,0.09,194.81
7,0.09,197.51
7.1,0.09,200.11
7.2,0.09,202.77
7.3,0.09,205.43
7.4,0.09,208.21
7.5,0.09,210.83
7.6,0.09,213.53
7.7,0.09,216.19
7.8,0.09,218.97
7.9,0.09,221.64
8,0.09,224.28
8.1,0.1,227.04
8.2,0.1,229.66
8.3,0.1,232.39
8.4,0.1,235.16
8.5,0.1,237.77
8.6,0.1,240.48
8.7,0.1,243.2
8.8,0.1,245.78
8.9,0.1,248.59
9,0.1,251.16
9.1,0.1,253.86
9.2,0.1,256.53
9.3,0.1,259.26
9.4,0.1,261.93
9.5,0.1,264.7
9.6,0.1,267.23
9.7,0.1,270.02
9.8,0.1,272.7
9.9,0.1,275.5
10,0.1,278.04
10.1,0.1,280.81
10.2,0.1,283.55
10.3,0.1,286.19
10.4,0.1,288.89
10.5,0.1,291.57
10.6,0.11,294.32
10.7,0.11,296.92
10.8,0.11,299.64
10.9,0.11,302.26
11,0.11,304.97
11.1,0.11,307.61
11.2,0.11,310.36
11.3,0.11,313
11.4,0.11,315.65
11.5,0.11,318.44
11.6,0.11,320.99
11.7,0.11,323.74
11.8,0.11,326.39
11.9,0.11,329.08
12,0.11,331.86
12.1,0.11,334.61
12.2,0.11,337.19
12.3,0.11,339.87
12.4,0.11,342.67
12.5,0.11,345.5
12.6,0.11,347.95
12.7,0.11,350.67
12.8,0.11,353.33
12.9,0.11,356.04
13,0.11,358.76
13.1,0.11,361.41
13.2,0.12,364.13
13.3,0.12,366.77
13.4,0.12,369.48
13.5,0.12,372.19
13.6,0.12,374.89
13.7,0.12,377.48
13.8,0.12,380.21
13.9,0.12,382.83
14,0.12,385.59
14.1,0.12,388.27
14.2,0.12,390.99
14.3,0.12,393.77
14.4,0.12,396.47
14.5,0.12,399.13
14.6,0.12,401.76
14.7,0.12,404.46
14.8,0.12,407.14
14.9,0.12,409.8
15,0.12,412.52
15.1,0.12,415.22
15.2,0.12,417.9
15.3,0.12,420.6
15.4,0.12,423.26
15.5,0.12,425.96
15.6,0.12,428.6
15.7,0.12,431.3
15.8,0.12,434.01
15.9,0.12,436.63
16,0.13,439.41
16.1,0.13,442.21
16.2,0.13,444.7
16.3,0.13,447.49
16.4,0.13,450.06
16.5,0.13,452.78
16.6,0.13,455.49
16.7,0.13,458.18
16.8,0.13,460.95
16.9,0.13,463.59
17,0.13,466.37
17.1,0.13,468.98
17.2,0.13,471.69
17.3,0.13,474.44
17.4,0.13,477.11
17.5,0.13,479.75
17.6,0.13,482.42
17.7,0.13,485.09
17.8,0.13,487.77
17.9,0.13,490.49
18,0.13,493.11
18.1,0.13,495.79
18.2,0.13,498.51
18.3,0.13,501.19
18.4,0.13,503.89
18.5,0.13,506.56
18.6,0.13,509.26
18.7,0.13,511.96
18.8,0.13,514.67
18.9,0.14,517.49
19,0.14,520.11
19.1,0.14,522.76
19.2,0.14,525.42
19.3,0.14,528.11
19.4,0.14,530.81
19.5,0.14,533.51
19.6,0.14,536.22
19.7,0.14,538.87
19.8,0.14,541.58
19.9,0.14,544.24
20,0.14,546.93
20.1,0.14,549.63
20.2,0.14,552.29
20.3,0.14,554.95
20.4,0.14,557.67
20.5,0.14,560.31
20.6,0.14,563.16
20.7,0.14,565.66
20.8,0.14,568.52
20.9,0.14,571.05
21,0.14,573.75
21.1,0.14,576.46
21.2,0.14,579.18
21.3,0.14,581.91
21.4,0.14,584.55
21.5,0.14,587.29
21.6,0.14,589.96
21.7,0.14,592.65
21.8,0.15,595.36
21.9,0.15,598.03
22,0.15,600.71
22.1,0.15,603.43
22.2,0.15,606.12
22.3,0.15,608.76
22.4,0.15,611.47
22.5,0.15,614.15
22.6,0.15,616.83
22.7,0.15,619.51
22.8,0.15,622.2
22.9,0.15,624.9
23,0.15,627.56
23.1,0.15,630.25
23.2,0.15,632.94
23.3,0.15,635.65
23.4,0.15,638.32
23.5,0.15,641.02
23.6,0.15,643.73
23.7,0.15,646.37
23.8,0.15,649.1
23.9,0.15,651.79
24,0.15,654.5
24.1,0.15,657.18
24.2,0.15,659.91
24.3,0.15,662.57
24.4,0.15,665.25
24.5,0.15,667.96
24.6,0.15,670.64
24.7,0.15,673.3
24.8,0.15,676
24.9,0.16,678.67
25,0.16,681.37
25.1,0.16,684.04
25.2,0.16,686.71
25.3,0.16,689.42
25.4,0.16,692.11
25.5,0.16,694.72
25.6,0.16,697.56
25.7,0.16,700.13
25.8,0.16,702.84
25.9,0.16,705.57
26,0.16,708.26
26.1,0.16,710.96
26.2,0.16,713.62
26.3,0.16,716.35
26.4,0.16,719.07
26.5,0.16,721.71
26.6,0.16,724.37
26.7,0.16,727.14
26.8,0.16,729.79
26.9,0.16,732.54
27,0.16,735.07
27.1,0.16,737.91
27.2,0.16,740.63
27.3,0.16,743.17
27.4,0.16,745.82
27.5,0.16,748.68
27.6,0.16,751.19
27.7,0.16,753.94
27.8,0.16,756.69
27.9,0.16,759.4
28,0.16,761.94
28.1,0.17,764.68
28.2,0.17,767.34
28.3,0.17,770.03
28.4,0.17,772.74
28.5,0.17,775.4
28.6,0.17,778.21
28.7,0.17,780.84
28.8,0.17,783.51
28.9,0.17,786.17
29,0.17,788.89
29.1,0.17,791.59
29.2,0.17,794.24
29.3,0.17,797.02
29.4,0.17,799.62
29.5,0.17,802.43
29.6,0.17,805
29.7,0.17,807.68
29.8,0.17,810.34
29.9,0.17,813.05
30,0.17,815.81
30.1,0.17,818.54
30.2,0.17,821.01
30.3,0.17,823.82
30.4,0.17,826.44
30.5,0.17,829.17
30.6,0.17,831.85
30.7,0.17,834.56
30.8,0.17,837.26
30.9,0.17,839.95
