Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,5.59024,mm
Thickness,5.59024,mm
,,
Time,Extension,Load
(s),(mm),(N)
0,0,9.28
0.1,0,14.47
0.2,0,14.47
0.3,0,15.83
0.4,0,17.66
0.5,0.01,19.06
0.6,0.01,20.31
0.7,0.01,21.68
0.8,0.01,23.02
0.9,0.01,24.38
1,0.01,25.62
1.1,0.01,27.04
1.2,0.01,28.3
1.3,0.01,29.65
1.4,0.01,30.88
1.5,0.01,32.27
1.6,0.01,33.53
1.7,0.01,34.88
1.8,0.01,36.11
1.9,0.01,37.51
2,0.01,38.8
2.1,0.01,40.12
2.2,0.01,41.43
2.3,0.01,42.76
2.4,0.01,44.08
2.5,0.01,45.38
2.6,0.01,46.71
2.7,0.01,48.05
2.8,0.01,49.36
2.9,0.01,50.73
3,0.01,52
3.1,0.01,53.4
3.2,0.01,54.69
3.3,0.01,55.89
3.4,0.01,57.26
3.5,0.02,58.59
3.6,0.02,59.98
3.7,0.02,61.25
3.8,0.02,62.57
3.9,0.02,63.81
4,0.02,65.2
4.1,0.02,66.41
4.2,0.02,67.75
4.3,0.02,69.07
4.4,0.02,70.47
4.5,0.02,71.75
4.6,0.02,73.05
4.7,0.02,74.31
4.8,0.02,75.69
4.9,0.02,76.98
5,0.02,78.34
5.1,0.02,79.65
5.2,0.02,81.05
5.3,0.02,82.25
5.4,0.02,83.76
5.5,0.02,84.85
5.6,0.02,86.31
5.7,0.02,87.61
5.8,0.02,88.85
5.9,0.02,90.22
6,0.02,91.6
6.1,0.02,92.86
6.2,0.02,94.1
6.3,0.02,95.62
6.4,0.02,96.98
6.5,0.02,97.99
6.6,0.02,99.53
6.7,0.03,100.73
6.8,0.03,102.03
6.9,0.03,103.24
7,0.03,104.64
7.1,0.03,106.05
7.2,0.03,107.37
7.3,0.03,108.68
7.4,0.03,109.9
7.5,0.03,111.18
7.6,0.03,112.55
7.7,0.03,113.87
7.8,0.03,115.24
7.9,0.03,116.58
8,0.03,117.87
8.1,0.03,119.19
8.2,0.03,120.53
8.3,0.03,121.8
8.4,0.03,123.1
8.5,0.03,124.47
8.6,0.03,125.88
8.7,0.03,127.14
8.8,0.03,128.41
8.9,0.03,129.73
9,0.03,131.01
9.1,0.03,132.39
9.2,0.03,133.63
9.3,0.03,134.96
9.4,0.03,136.34
9.5,0.03,137.61
9.6,0.03,138.86
9.7,0.03,140.2
9.8,0.03,141.48
9.9,0.04,142.9
10,0.04,144.13
10.1,0.04,145.53
10.2,0.04,146.77
10.3,0.04,148.13
10.4,0.04,149.43
10.5,0.04,150.78
10.6,0.04,152.09
10.7,0.04,153.41
10.8,0.04,154.72
10.9,0.04,156.08
11,0.04,157.36
11.1,0.04,158.72
11.2,0.04,160
11.3,0.04,161.37
11.4,0.04,162.7
11.5,0.04,163.98
11.6,0.04,165.29
11.7,0.04,166.64
11.8,0.04,167.92
11.9,0.04,169.22
12,0.04,170.57
12.1,0.04,171.81
12.2,0.04,173.17
12.3,0.04,174.48
12.4,0.04,175.79
12.5,0.04,177.12
12.6,0.04,178.45
12.7,0.04,179.75
12.8,0.04,181.07
12.9,0.04,182.43
13,0.04,183.74
13.1,0.04,185.06
13.2,0.05,186.37
13.3,0.05,187.66
13.4,0.05,189.03
13.5,0.05,190.32
13.6,0.05,191.61
13.7,0.05,192.96
13.8,0.05,194.39
13.9,0.05,195.56
14,0.05,196.94
14.1,0.05,198.31
14.2,0.05,199.6
14.3,0.05,200.83
14.4,0.05,202.18
14.5,0.05,203.5
14.6,0.05,204.82
14.7,0.05,206.09
14.8,0.05,207.41
14.9,0.05,208.79
15,0.05,210.07
15.1,0.05,211.38
15.2,0.05,212.72
15.3,0.05,213.99
15.4,0.05,215.33
15.5,0.05,216.67
15.6,0.05,217.96
15.7,0.05,219.32
15.8,0.05,220.61
15.9,0.05,221.92
16,0.05,223.26
16.1,0.05,224.61
16.2,0.05,225.89
16.3,0.05,227.19
