Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00009","-2.00743"
"0.10000","0.00026","-2.05324"
"0.20000","0.00248","-1.88565"
"0.30000","0.00453","-1.84365"
"0.40000","0.00615","-1.87861"
"0.50000","0.00760","-1.85477"
"0.60000","0.00888","-1.87507"
"0.70000","0.01016","-1.80125"
"0.80000","0.01178","-1.86101"
"0.90000","0.01349","-1.78993"
"1.00000","0.01511","-1.83690"
"1.10000","0.01656","-1.76491"
"1.20000","0.01793","-1.81652"
"1.30000","0.01930","-1.77103"
"1.40000","0.02083","-1.76841"
"1.50000","0.02237","-1.78683"
"1.60000","0.02382","-1.75439"
"1.70000","0.02519","-1.72497"
"1.80000","0.02664","-1.74030"
"1.90000","0.02826","-1.75841"
"2.00000","0.02980","-1.70518"
"2.10000","0.03133","-1.73473"
"2.20000","0.03279","-1.72495"
"2.30000","0.03415","-1.68426"
"2.40000","0.03560","-1.66603"
"2.50000","0.03723","-1.67997"
"2.60000","0.03885","-1.60958"
"2.70000","0.04013","-1.62675"
"2.80000","0.04149","-1.58986"
"2.90000","0.04286","-1.56723"
"3.00000","0.04440","-1.57111"
"3.10000","0.04619","-1.57707"
"3.20000","0.04773","-1.58993"
"3.30000","0.04918","-1.56633"
"3.40000","0.05054","-1.56829"
"3.50000","0.05191","-1.54224"
"3.60000","0.05336","-1.48458"
"3.70000","0.05490","-1.49888"
"3.80000","0.05635","-1.52554"
"3.90000","0.05780","-1.51901"
"4.00000","0.05925","-1.52521"
"4.10000","0.06079","-1.48293"
"4.20000","0.06250","-1.49246"
"4.30000","0.06395","-1.48966"
"4.40000","0.06532","-1.43071"
"4.50000","0.06677","-1.36450"
"4.60000","0.06822","-1.26656"
"4.70000","0.06976","-1.10111"
"4.80000","0.07138","-1.03425"
"4.90000","0.07274","-1.01853"
"5.00000","0.07411","-0.94692"
"5.10000","0.07539","-0.89787"
"5.20000","0.07701","-0.92398"
"5.30000","0.07872","-0.81992"
"5.40000","0.08034","-0.75782"
"5.50000","0.08171","-0.73242"
"5.60000","0.08316","-0.74062"
"5.70000","0.08453","-0.75701"
"5.80000","0.08598","-0.72478"
"5.90000","0.08751","-0.63795"
"6.00000","0.08897","-0.62609"
"6.10000","0.09033","-0.64493"
"6.20000","0.09178","-0.61384"
"6.30000","0.09341","-0.65751"
"6.40000","0.09503","-0.58827"
"6.50000","0.09656","-0.55631"
"6.60000","0.09793","-0.53213"
"6.70000","0.09930","-0.52476"
"6.80000","0.10075","-0.38503"
"6.90000","0.10246","-0.41404"
"7.00000","0.10399","-0.37994"
"7.10000","0.10536","-0.30710"
"7.20000","0.10672","-0.33548"
"7.30000","0.10801","-0.24811"
